abstract,article_link,authors,current_issue_index,current_issue_link,current_volume_name,doi,journal_name,title
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.824,,111: 824-59,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.824,AEA Papers and Proceedings,"Best Practices for Economists: Building a More Diverse, Inclusive, and Productive Profession"
"We study how voter turnout affects the aggregation of preferences in elections. Under voluntary voting, election outcomes disproportionately aggregate the preferences of voters with low voting cost and high preference intensity. We show identification of the correlation structure among preferences, costs, and perceptions of voting efficacy, and explore how the correlation affects preference aggregation. Using 2004 US presidential election data, we find that young, low-income, less-educated, and minority voters are underrepresented. All of these groups tend to prefer Democrats, except for the less educated. Democrats would have won the majority of the electoral votes if all eligible voters had turned out.",https://www.aeaweb.org/articles?id=10.1257/mic.20190063,Kei Kawai; Yuta Toyama; Yasutora Watanabe,13 (4): 548-86,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190063,American Economic Journal: Microeconomics,Voter Turnout and Preference Aggregation
This paper investigates the how government outsourcing affects efficiency and expenditures by considering how outsourcing decisions are determined along two dimensions: (i) cost differences between private firms and government suppliers of public goods and (ii) dynamics arising from cost complementarities and capacity constraints. I formulate and estimate a dynamic model of government outsourcing using project-level data from the dredging industry. Model estimates indicate substantial cost savings due to outsourcing but also that government presence in the market yields cost reduction. A counterfactual policy featuring direct competition between government and private sector firms finds a total expenditure reduction of 15.7 percent.,https://www.aeaweb.org/articles?id=10.1257/mic.20190018,Aaron Barkley,13 (4): 514-47,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190018,American Economic Journal: Microeconomics,Cost and Efficiency in Government Outsourcing: Evidence from the Dredging Industry
"The steady rise in income and wealth inequality in the last four decades, together with the evolution of a vanishing middle class, has raised concerns about potentially pernicious effects of these trends on social stability and economic growth. This paper evaluates the possibility of designing tax systems aimed at reducing income inequality and bipolarization. Using two fundamentally different metrics, we provide a unified foundation of tax progressivity whereby, roughly, taxes are progressive if and only if they are inequality reducing; and taxes are inequality reducing if and only if they are bipolarization reducing.",https://www.aeaweb.org/articles?id=10.1257/mic.20190111,Oriol Carbonell-Nicolau; Humberto Llavador,13 (4): 492-513,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190111,American Economic Journal: Microeconomics,"Inequality, Bipolarization, and Tax Progressivity"
"We study fairness in economies where humans consume one private good and one public good representing the welfare of other species. We show that a social evaluator cannot be egalitarian with respect to humans while always respecting humans' unanimous preferences. One solution is to respect unanimous preferences only when doing so does not lead to a decrease in the welfare of other species. Social preferences satisfying these properties reveal surprising connections between concerns for other species, egalitarianism among humans, and unanimity: the latter two imply a form of dictatorship from humans with the strongest preference for the welfare of other species.",https://www.aeaweb.org/articles?id=10.1257/mic.20190091,Marc Fleurbaey; Martin Van der Linden,13 (4): 466-91,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190091,American Economic Journal: Microeconomics,"Fair Social Ordering, Egalitarianism, and Animal Welfare"
"We study how to orchestrate information acquisition in an environment where bidders endowed with original estimates (""types"") about their private values can acquire further information by incurring a cost. We consider both single-round and fully sequential short-listing rules. The optimal single-round shortlisting rule admits the set of most efficient bidders that maximizes expected virtual surplus adjusted by the second-stage signal and information acquisition cost. When shortlisting is fully sequential, at each round, the most efficient remaining bidder is admitted provided that her conditional expected contribution to the virtual surplus is positive.",https://www.aeaweb.org/articles?id=10.1257/mic.20190114,Jingfeng Lu; Lixin Ye; Xin Feng,13 (4): 420-65,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190114,American Economic Journal: Microeconomics,Orchestrating Information Acquisition
"We investigate information aggregation and competition in a delegation framework. An uninformed principal is unable to perform a task herself and must choose between one of two biased and imperfectly informed experts. In the focal equilibrium, experts exaggerate their biases, anticipating an ideological winner's curse. We show that having a second expert can benefit the principal, even when equally or more biased than the first expert. The principal can benefit from commitment to an ""element of surprise"" and prefers experts with equal rather than opposite biases.",https://www.aeaweb.org/articles?id=10.1257/mic.20190008,Attila Ambrus; Volodymyr Baranovskyi; Aaron Kolb,13 (4): 373-419,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190008,American Economic Journal: Microeconomics,A Delegation-Based Theory of Expertise
"Recent developments in social media have morphed the age-old practice of paying influential individuals for product endorsements into a multibillion dollar industry, extending well beyond celebrity sponsorships. We develop a parsimonious model in which influencers trade off the increased revenue they obtain from paid endorsements with the negative impact that these have on their followers' engagement and, therefore, on the price influencers receive from marketers. The model provides testable predictions that match suggestive evidence on pricing of paid endorsements, reveals a novel type of inefficiency that emerges in this market, and clarifies the role of search technology and advice transparency in shaping market activity. In particular, we show that recent policies that make paid endorsements more transparent can backfire, whereas an increase in the effectiveness of the search technology that matches followers to influencers has both direct and strategic positive welfare effects.",https://www.aeaweb.org/articles?id=10.1257/mic.20200050,Itay P. Fainmesser; Andrea Galeotti,13 (4): 332-72,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20200050,American Economic Journal: Microeconomics,The Market for Online Influence
"A principal owns a firm, hires an agent of uncertain productivity, and designs a dynamic policy for evaluating his performance. The agent observes ongoing evaluations and decides when to quit. When not quitting, the agent is paid a wage that is linear in his expected productivity; the principal claims the residual performance. After quitting, the players secure fixed outside options. I show that equilibrium is Pareto efficient. For a broad class of performance technologies, the equilibrium wage deterministically grows with tenure. My analysis suggests that endogenous performance evaluation plays an important role in shaping careers in organizations.",https://www.aeaweb.org/articles?id=10.1257/mic.20170405,Alex Smolin,13 (4): 300-331,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20170405,American Economic Journal: Microeconomics,Dynamic Evaluation Design
"Most institutions are limited in scope. We study experimentally how enforcement institutions affect behavior, preferences, and beliefs beyond their direct influence over the behaviors they control. Groups play two identical public good games, with cooperation institutionally enforced in one game. Institutions generally have economically significant positive spillover effects to the unregulated game. We also observe that institutions enhance conditional cooperation preferences and beliefs about others' cooperativeness, suggesting that both factors are drivers of observed spillover effects. In additional treatments, we provide evidence for several factors, including characteristics of institutions, that enhance or limit the effectiveness and scope of spillover effects.",https://www.aeaweb.org/articles?id=10.1257/mic.20180336,Florian Engl; Arno Riedl; Roberto Weber,13 (4): 261-99,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20180336,American Economic Journal: Microeconomics,"Spillover Effects of Institutions on Cooperative Behavior, Preferences, and Beliefs"
